id,proper,dist_ly,grid_x,grid_y,spect,system_key,primary_hyg_id,member_count,is_named,x_ly,y_ly,z_ly
0,Sol,1.63078e-05,50,50,G2V,hyg:0,0,1,1,1.63078e-05,0.0,0.0
71456,Alpha Centauri,4.320148863664279,47,47,G2V,hyg:71456,71456,3,1,-1.61513429668,-1.35055981104,-3.7724018349999997
87665,Barnard's Star,5.945191645873049,50,38,sdM4,hyg:87665,87665,1,1,-0.056663081879999994,-5.92499229628,0.48637361188
118720,Wolf 359,7.799260886020115,35,54,M6,hyg:118720,118720,1,1,-7.44552504516,2.11784180104,0.95256142892
53879,Lalande 21185,8.304408135887801,37,53,M2V,hyg:53879,53879,1,1,-6.51659688,1.6448210157999998,4.87767602624
32263,Sirius,8.600784535570012,47,66,A0m...,hyg:32263,32263,2,1,-1.61226412388,8.07800676036,-2.4738443365999996
92115,Ross 154,9.685826306806668,54,33,M3.5Ve,hyg:92115,92115,1,1,1.91089255748,-8.65113786824,-3.91427317188
119585,Ross 248,10.32162018863335,65,49,dM6  e,hyg:119585,119585,1,1,7.37976547244,-0.5838909943199999,7.19263346744
16496,Ran,10.489995226665103,62,67,K2V,hyg:16496,16496,1,1,6.1936045932,8.289013384559999,-1.7238094758799998
113687,Lacaille 9352,10.684821199999458,67,46,M2/M3V,hyg:113687,113687,1,1,8.41982150992,-2.02658009068,-6.25819326588
57375,Ross 128,10.942604364361426,28,51,M4.5V,hyg:57375,57375,1,1,-10.92587375152,0.58503254032,0.15365535315999998
119518,EZ Aqr,11.072451041922324,70,43,M5  e,hyg:119518,119518,1,1,10.01264021308,-3.7157778918399997,-2.92219142044
37173,Procyon,11.461656904722267,40,71,F5IV-V,hyg:37173,37173,2,1,-4.79224924672,10.3592690252,1.04377747744
91484,Struve 2398,11.640808818899934,52,38,K5,hyg:91484,91484,2,1,1.09215293536,-5.783088343799999,10.043481524439999
1472,Groombridge 34,11.70054855543899,67,51,M1V,hyg:1472,1472,2,1,8.386367689,0.6740666052,8.131254988919999
5632,Talios Belt-14,12.035648811607874,72,57,M5.5Ve,hyg:5632,5632,1,0,10.93852860432,3.5811113409999997,-3.51867529792
82472,Koros Reach-10,12.056029565804504,47,39,Mp,hyg:82472,82472,1,0,-1.57387882424,-5.359232314,-10.6840714778
36107,Luyten's Star,12.402939053079132,41,73,M5,hyg:36107,36107,1,1,-4.5973286364399994,11.463913735359998,1.1296673984799999
