from_system_id,to_system_id,distance_ly
0,71456,4.3201549605378595
0,87665,5.945191801323574
0,118720,7.799276454180599
0,53879,8.304420932875612
0,32263,8.600787592571276
71456,87665,6.441384431651873
71456,118720,8.26731781583567
71456,92115,8.10872572120649
71456,82472,7.990139829890145
87665,92115,5.53794519554967
118720,53879,4.061179730249712
118720,57375,3.885946765654022
118720,37173,8.658482287400062
118720,118707,7.763028692101085
53879,57375,6.548377315195623
53879,54052,7.660458929478401
53879,49767,8.271685002688402
32263,16496,7.844658215374315
32263,37173,5.262140831361007
32263,36107,5.775835265341108
32263,24129,7.4683576609926465
32263,30847,5.560621722083416
92115,82472,8.295206016955104
92115,104751,7.360312299769696
92115,80579,8.198906652775028
92115,85264,7.764712602890827
119585,91484,8.642514630556672
119585,1472,1.8645953194082225
119585,110547,4.497166418822746
16496,5632,6.920996231915377
16496,24129,8.495963000564533
16496,118236,8.096723622464765
16496,118100,7.976847659846543
16496,19799,6.252203269717387
113687,119518,4.064402655416804
113687,5632,6.730159531325677
113687,104751,4.928820023041585
113687,1240,7.993179806944785
57375,118707,5.691746987696826
119518,5632,7.379542994350186
119518,104751,6.3510989366476895
119518,3820,8.637541481394834
119518,1240,7.50873576748552
37173,36107,1.1249938037752265
37173,30847,4.603866891298117
37173,118578,8.07354023840517
37173,37659,7.986437707529434
91484,110547,6.220704971749758
91484,95799,7.70045252784658
1472,110547,4.880652675687038
1472,3820,8.841055802643279
1472,118100,8.9451578062783
1472,3814,8.613967360566653
5632,3820,5.510906368387329
5632,118100,7.785157445271656
5632,1240,5.385627525885361
82472,82473,1.4680319282526968
82472,85264,4.671530531126096
82472,57194,8.046159334300276
82472,86722,7.293646851091947
36107,30847,3.871014358159581
36107,118578,8.111411799816446
36107,37659,7.136056059835754
24129,118236,4.122403432757894
24129,15471,8.880638122667143
104751,102708,8.359192050980601
104751,99143,7.691420785338935
104751,99382,8.240633323073192
110547,95799,8.295433867113303
110547,3814,8.187970326588237
110547,114260,8.490298799169272
30847,26792,7.718482393304979
30847,37659,8.168306827985026
30847,118399,8.021638752582131
82473,85264,4.19959221070694
82473,57194,8.06011497996369
82473,86722,5.957749806137466
82473,98924,8.728108021305763
3820,118100,4.774024107761081
3820,1240,6.46296469792587
3820,117106,7.094453647522919
118236,15471,5.79534236162015
80579,88327,7.826977291785114
80579,72957,8.421706715233935
80579,84147,7.328945340987673
80579,74766,8.212154931363418
80579,82557,8.23123220126632
118704,57194,2.0586553765390687
118704,58735,4.3064441414355645
118704,118644,6.369773406125862
85264,86722,5.257001650372518
85264,84147,7.53676525606333
85264,84451,8.401182351307565
57194,58735,3.134398657105288
57194,118644,6.472339259051837
54052,49767,3.0439891922011353
54052,45211,6.918159369151247
54052,53612,8.913895545126715
49767,57371,8.902113289634439
49767,45211,4.198947619733206
19799,118344,5.231425068976941
1240,117106,6.878723663564636
88327,97338,7.762960426572573
88327,94466,6.1432277664686845
88327,82557,8.630897957672566
97338,94466,3.7474574644787086
118578,37659,7.98782464378393
118578,118530,7.269736019487843
67380,66943,2.742559142477419
67380,118865,4.989123953757028
67380,72432,6.756059796969456
67380,118894,8.897865291001722
57371,95799,8.614063942542845
66943,118865,4.940470413721655
66943,118812,8.12330134354929
66943,72432,7.02139678758931
66943,65653,7.697373151262319
58735,118644,5.766821198986736
